SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
1141837766,BEPANTHENE  DEXPANTHENOL,BEPANTHENE  DEXPANTHENOL,BEPANTHENE  DEXPANTHENOL,insert,1,https://riba.app/imgrs/THUMBS%20500X500/224.JPG,tabs/detalle-producto/224,1.085.000,1.085.000,1.085.000,USD,1,,"{""MARCA"":[""BAYER (Farmacia)""],""CATEGORIA"":[""Cuidado Personal""]}","[""Cuidado Personal""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/224.JPG,0,0,"[""82""]",1.085.000,2026-05-08 9:49:16
1470861264,PROTECTOR SOLAR P  BEBE AUTO,PROTECTOR SOLAR P  BEBE AUTO,PROTECTOR SOLAR P  BEBE AUTO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/314374.JPG,tabs/detalle-producto/314374,1.391.000,1.391.000,1.391.000,USD,1,,"{""MARCA"":[""MUNCHKIN""],""CATEGORIA"":[""Utensilios De Bebe""]}","[""Utensilios De Bebe""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/314374.JPG,0,0,"[""85""]",1.391.000,2026-05-08 9:49:16
1500000300,GERBER CARROT ,GERBER CARROT ,GERBER CARROT ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/267306.JPG,tabs/detalle-producto/267306,228.000,228.000,228.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/267306.JPG,0,0,"[""83""]",228.000,2026-05-08 9:49:16
1500000301,GERBER 1FD PRUNE,GERBER 1FD PRUNE,GERBER 1FD PRUNE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/265251.JPG,tabs/detalle-producto/265251,253.000,253.000,253.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/265251.JPG,0,0,"[""83""]",253.000,2026-05-08 9:49:16
1500000302,GERBER 1FD APPLE,GERBER 1FD APPLE,GERBER 1FD APPLE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/264886.JPG,tabs/detalle-producto/264886,228.000,228.000,228.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/264886.JPG,0,0,"[""83""]",228.000,2026-05-08 9:49:16
1500000303,GERBER 1FD BUTTERNUTH SQUASH,GERBER 1FD BUTTERNUTH SQUASH,GERBER 1FD BUTTERNUTH SQUASH,insert,1,https://riba.app/imgrs/THUMBS%20500X500/266325.JPG,tabs/detalle-producto/266325,228.000,228.000,228.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/266325.JPG,0,0,"[""83""]",228.000,2026-05-08 9:49:16
1500000306,GERBER 2 PACK PEAR,GERBER 2 PACK PEAR,GERBER 2 PACK PEAR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/354523.JPG,tabs/detalle-producto/354523,228.000,228.000,228.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/354523.JPG,0,0,"[""83""]",228.000,2026-05-08 9:49:16
1500000307,GERBER 1 FD PEAS,GERBER 1 FD PEAS,GERBER 1 FD PEAS,insert,1,https://riba.app/imgrs/THUMBS%20500X500/264887.JPG,tabs/detalle-producto/264887,228.000,228.000,228.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/264887.JPG,0,0,"[""83""]",228.000,2026-05-08 9:49:16
1500000308,GERBER 1 FD SWT POTATO,GERBER 1 FD SWT POTATO,GERBER 1 FD SWT POTATO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/264888.JPG,tabs/detalle-producto/264888,228.000,228.000,228.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/264888.JPG,0,0,"[""83""]",228.000,2026-05-08 9:49:16
1500000311,1ST FOOD BANANA,1ST FOOD BANANA,1ST FOOD BANANA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/265576.JPG,tabs/detalle-producto/265576,228.000,228.000,228.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/265576.JPG,0,0,"[""83""]",228.000,2026-05-08 9:49:16
1500000595,GERBR ANIMAL CRACKERS,GERBR ANIMAL CRACKERS,GERBR ANIMAL CRACKERS,insert,1,https://riba.app/imgrs/THUMBS%20500X500/189620.JPG,tabs/detalle-producto/189620,565.000,565.000,565.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/189620.JPG,0,0,"[""83""]",565.000,2026-05-08 9:49:16
1500000596,GERBR GRADUATE ARROWROOT COOKI,GERBR GRADUATE ARROWROOT COOKI,GERBR GRADUATE ARROWROOT COOKI,insert,1,https://riba.app/imgrs/THUMBS%20500X500/188702.JPG,tabs/detalle-producto/188702,565.000,565.000,565.000,USD,1,,"{""MARCA"":[""GERBER""],""CATEGORIA"":[""Alimentos""]}","[""Alimentos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/188702.JPG,0,0,"[""83""]",565.000,2026-05-08 9:49:16
