SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
1018104041,MASSAGE LOTION 7 ONZ,MASSAGE LOTION 7 ONZ,MASSAGE LOTION 7 ONZ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/115035.JPG,tabs/detalle-producto/115035,971.000,971.000,971.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/115035.JPG,0,0,"[""3""]",971.000,2026-05-11 18:26:50
1018104050,SOOTHING OIL FOR ITCHY SKIN ,SOOTHING OIL FOR ITCHY SKIN ,SOOTHING OIL FOR ITCHY SKIN ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/115203.JPG,tabs/detalle-producto/115203,937.000,937.000,937.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/115203.JPG,0,0,"[""3""]",937.000,2026-05-11 18:26:50
1018104165,COCOA BUTTER FORMULA LOT W VIT,COCOA BUTTER FORMULA LOT W VIT,COCOA BUTTER FORMULA LOT W VIT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/11523.JPG,tabs/detalle-producto/11523,1.037.000,1.037.000,1.037.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/11523.JPG,0,0,"[""3""]",1.037.000,2026-05-11 18:26:50
1018104184,COCOA BUTTER FORMULA LOTIN,COCOA BUTTER FORMULA LOTIN,COCOA BUTTER FORMULA LOTIN,insert,1,https://riba.app/imgrs/THUMBS%20500X500/11524.JPG,tabs/detalle-producto/11524,806.000,806.000,806.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/11524.JPG,0,0,"[""3""]",806.000,2026-05-11 18:26:50
1018104187,COCOA BUTTER LOTION W VIT,COCOA BUTTER LOTION W VIT,COCOA BUTTER LOTION W VIT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/55724.JPG,tabs/detalle-producto/55724,750.000,750.000,750.000,USD,1,,"{""MARCA"":[""PALMER´S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/55724.JPG,0,0,"[""3""]",750.000,2026-05-11 18:26:50
1199500610,SPA SPLENDOR BATH POOF,SPA SPLENDOR BATH POOF,SPA SPLENDOR BATH POOF,insert,1,https://riba.app/imgrs/THUMBS%20500X500/204976.JPG,tabs/detalle-producto/204976,180.000,180.000,180.000,USD,1,,"{""MARCA"":[""EVRIHOLDER""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/204976.JPG,0,0,"[""3""]",180.000,2026-05-11 18:26:50
1199500623,SPASPLEND SOFT WEAV WASH CLOTH,SPASPLEND SOFT WEAV WASH CLOTH,SPASPLEND SOFT WEAV WASH CLOTH,insert,1,https://riba.app/imgrs/THUMBS%20500X500/204981.JPG,tabs/detalle-producto/204981,352.000,352.000,352.000,USD,1,,"{""MARCA"":[""EVRIHOLDER""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/204981.JPG,0,0,"[""3""]",352.000,2026-05-11 18:26:50
1199500710,POOFIE PALS FROG LION BEAR PIG,POOFIE PALS FROG LION BEAR PIG,POOFIE PALS FROG LION BEAR PIG,insert,1,https://riba.app/imgrs/THUMBS%20500X500/204975.JPG,tabs/detalle-producto/204975,370.000,370.000,370.000,USD,1,,"{""MARCA"":[""EVRIHOLDER""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/204975.JPG,0,0,"[""3""]",370.000,2026-05-11 18:26:50
1871870011,JABON CUERPO MANOS ANTIBAC 1GL,JABON CUERPO MANOS ANTIBAC 1GL,JABON CUERPO MANOS ANTIBAC 1GL,insert,1,https://riba.app/imgrs/THUMBS%20500X500/289232.JPG,tabs/detalle-producto/289232,718.000,718.000,718.000,USD,1,,"{""MARCA"":[""SIP""],""CATEGORIA"":[""Jabones""]}","[""Jabones""]",,https://riba.app/imgrs/THUMBS%20500X500/289232.JPG,0,0,"[""1""]",718.000,2026-05-11 18:26:50
1871870013,JABON LIQ ANTIB MANO Y CUERPO,JABON LIQ ANTIB MANO Y CUERPO,JABON LIQ ANTIB MANO Y CUERPO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/290584.JPG,tabs/detalle-producto/290584,207.000,207.000,207.000,USD,1,,"{""MARCA"":[""SIP""],""CATEGORIA"":[""Jabones""]}","[""Jabones""]",,https://riba.app/imgrs/THUMBS%20500X500/290584.JPG,0,0,"[""1""]",207.000,2026-05-11 18:26:50
