SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
1018104041,MASSAGE LOTION 7 ONZ,MASSAGE LOTION 7 ONZ,MASSAGE LOTION 7 ONZ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/115035.JPG,tabs/detalle-producto/115035,971.000,971.000,971.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/115035.JPG,0,0,"[""3""]",971.000,2026-05-11 18:37:21
1018104050,SOOTHING OIL FOR ITCHY SKIN ,SOOTHING OIL FOR ITCHY SKIN ,SOOTHING OIL FOR ITCHY SKIN ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/115203.JPG,tabs/detalle-producto/115203,937.000,937.000,937.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/115203.JPG,0,0,"[""3""]",937.000,2026-05-11 18:37:21
1018104165,COCOA BUTTER FORMULA LOT W VIT,COCOA BUTTER FORMULA LOT W VIT,COCOA BUTTER FORMULA LOT W VIT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/11523.JPG,tabs/detalle-producto/11523,1.037.000,1.037.000,1.037.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/11523.JPG,0,0,"[""3""]",1.037.000,2026-05-11 18:37:21
1018104184,COCOA BUTTER FORMULA LOTIN,COCOA BUTTER FORMULA LOTIN,COCOA BUTTER FORMULA LOTIN,insert,1,https://riba.app/imgrs/THUMBS%20500X500/11524.JPG,tabs/detalle-producto/11524,806.000,806.000,806.000,USD,1,,"{""MARCA"":[""PALMER S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/11524.JPG,0,0,"[""3""]",806.000,2026-05-11 18:37:21
1018104187,COCOA BUTTER LOTION W VIT,COCOA BUTTER LOTION W VIT,COCOA BUTTER LOTION W VIT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/55724.JPG,tabs/detalle-producto/55724,750.000,750.000,750.000,USD,1,,"{""MARCA"":[""PALMER´S""],""CATEGORIA"":[""Cuidado Corporal""]}","[""Cuidado Corporal""]",,https://riba.app/imgrs/THUMBS%20500X500/55724.JPG,0,0,"[""3""]",750.000,2026-05-11 18:37:21
1030000301,EV EMERALD NUTS HONEY CASH,EV EMERALD NUTS HONEY CASH,EV EMERALD NUTS HONEY CASH,insert,1,https://riba.app/imgrs/THUMBS%20500X500/354709.JPG,tabs/detalle-producto/354709,665.000,665.000,665.000,USD,1,,"{""MARCA"":[""EMERALD""],""CATEGORIA"":[""Frutos Secos""]}","[""Frutos Secos""]",,https://riba.app/imgrs/THUMBS%20500X500/354709.JPG,0,0,"[""39""]",665.000,2026-05-11 18:37:21
1030010279,EMERALD PECANS PIE 5 OZ,EMERALD PECANS PIE 5 OZ,EMERALD PECANS PIE 5 OZ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/140848.JPG,tabs/detalle-producto/140848,735.000,735.000,735.000,USD,1,,"{""MARCA"":[""EMERALD""],""CATEGORIA"":[""Frutos Secos""]}","[""Frutos Secos""]",,https://riba.app/imgrs/THUMBS%20500X500/140848.JPG,0,0,"[""39""]",735.000,2026-05-11 18:37:21
1037416200,TFT NEW YORK STYLE CHEESECAKE,TFT NEW YORK STYLE CHEESECAKE,TFT NEW YORK STYLE CHEESECAKE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/160802.JPG,tabs/detalle-producto/160802,767.000,767.000,767.000,USD,1,,"{""MARCA"":[""THE FATHERS TABLE""],""CATEGORIA"":[""Postres Listos""]}","[""Postres Listos""]",,https://riba.app/imgrs/THUMBS%20500X500/160802.JPG,0,0,"[""45""]",767.000,2026-05-11 18:37:21
1037416201,TFT STRAWBERRY SWIRL CHEESCAKE,TFT STRAWBERRY SWIRL CHEESCAKE,TFT STRAWBERRY SWIRL CHEESCAKE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/160803.JPG,tabs/detalle-producto/160803,767.000,767.000,767.000,USD,1,,"{""MARCA"":[""THE FATHERS TABLE""],""CATEGORIA"":[""Postres Listos""]}","[""Postres Listos""]",,https://riba.app/imgrs/THUMBS%20500X500/160803.JPG,0,0,"[""45""]",767.000,2026-05-11 18:37:21
1037416205,THE FTHER TABLE CHEESECAKE,THE FTHER TABLE CHEESECAKE,THE FTHER TABLE CHEESECAKE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/349411.JPG,tabs/detalle-producto/349411,895.000,895.000,895.000,USD,1,,"{""MARCA"":[""THE FATHERS TABLE""],""CATEGORIA"":[""Postres Listos""]}","[""Postres Listos""]",,https://riba.app/imgrs/THUMBS%20500X500/349411.JPG,0,0,"[""45""]",895.000,2026-05-11 18:37:21
