item,nombre,sku,nombredepa,marca,nombrecat,dieta,estado,image
206965,WEL PAC SUSHI SHOGA,1115225499,Despensa,WEL PAC,Conservas Y Encurtidos,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/206965.JPG
342601,PREMIUM RICE SUSHI MUSENMAI,1115228589,Despensa,NISHIKI,Arroz Y Granos,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/342601.JPG
6239,SW MAIZ GRANO ENTERO 303,1119430122,Despensa,S&W,Conservas Y Encurtidos,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/6239.JPG
23360,SALSA PICANTE TABASCO,1121000001,Despensa,TABASCO,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/23360.JPG
23361,SALSA PICANTE AJI ROJO,1121000015,Despensa,TABASCO,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/23361.JPG
196678,CIH BUFF HOT SAUCE,1121000250,Despensa,TABASCO,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/196678.JPG
115905,PEPPER JELLY SPICY TABASCO,1121000310,Despensa,TABASCO,Jaleas Mantequillas Y Mermeladas,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/115905.JPG
180023,SALSA PICANTE HABANERO,1121000650,Despensa,TABASCO,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/180023.JPG
23366,SALSA PICANTE CON AJO,1121000725,Despensa,TABASCO,Aderezos Y Salsas,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/23366.JPG
46454,SALSA PICANTE C JALAPENO TABA1,1121000930,Despensa,TABASCO,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/46454.JPG
23365,SALSA PICANTE LEVE JALAPEÑA,1121000953,Despensa,TABASCO,Aderezos Y Salsas,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/23365.JPG
312925,SALSA TABASCO SRIRACHA,1121069700,Despensa,TABASCO,Aderezos Y Salsas,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/312925.JPG
299623,SPAGHETTI 454 GR,1215710344,Despensa,DE LA ABUELA,Pastas Secas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/299623.JPG
162206,WS BLUE AGAVE ORGANIC ,1251120231,Despensa,WHOLESOME,Siropes,"[""Kosher"",""Orgánico""]",1,https://riba.app/imgrs/THUMBS%20500X500/162206.JPG
162207,WS BLUE AGAVE OG RAW,1251121232,Despensa,WHOLESOME,Siropes,"[""Kosher"",""Orgánico""]",1,https://riba.app/imgrs/THUMBS%20500X500/162207.JPG
277487,ZERO CALORIES SWEETENER POUCH,1251134711,Despensa,WHOLESOME,Azucar Y Endulzantes,"[""Gluten-free"",""Keto"",""Kosher"",""Orgánico"",""Vegano""]",1,https://riba.app/imgrs/THUMBS%20500X500/277487.JPG
162208,WS ORGANIC MOLASSES,1251160000,Despensa,WHOLESOME,Siropes,"[""Gluten-free"",""Kosher"",""Orgánico""]",1,https://riba.app/imgrs/THUMBS%20500X500/162208.JPG
207856,NEW STEVIA ORGANIC NATURAL,1251194635,Despensa,WHOLESOME,Azucar Y Endulzantes,"[""Keto"",""Kosher"",""Orgánico""]",1,https://riba.app/imgrs/THUMBS%20500X500/207856.JPG
22889,HEINZ KETCHUP 14 OZ,1300000075,Despensa,HEINZ,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/22889.JPG
75502,KETCHUP ,1300000076,Despensa,HEINZ,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/75502.JPG
82111,HEINZ CHILI SAUCE 12 OZ,1300000112,Despensa,HEINZ,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/82111.JPG
44435,HEINZ SEAFOOD SAUCE 12 OZ,1300000113,Despensa,HEINZ,Aderezos Y Salsas,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/44435.JPG
338534,HEINZ KETCHUP PICKLE,1300000180,Despensa,HEINZ,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/338534.JPG
279339,HEINZ YELLOW MUSTARD 8 OZ,1300000211,Despensa,HEINZ,Aderezos Y Salsas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/279339.JPG
