SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
3400000246,KIT KAT CRISP WAFERS,KIT KAT CRISP WAFERS,KIT KAT CRISP WAFERS,insert,1,https://riba.app/imgrs/THUMBS%20500X500/240263.JPG,tabs/detalle-producto/240263,227.000,227.000,227.000,USD,1,,"{""MARCA"":[""HERSHEY S REGULAR""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/240263.JPG,0,0,"[""276""]",227.000,2026-05-11 18:37:21
3400000248,REESES PIECES PEANUT BUTTER,REESES PIECES PEANUT BUTTER,REESES PIECES PEANUT BUTTER,insert,1,https://riba.app/imgrs/THUMBS%20500X500/46297.JPG,tabs/detalle-producto/46297,204.000,204.000,204.000,USD,1,,"{""MARCA"":[""REESE´S""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/46297.JPG,0,0,"[""276""]",204.000,2026-05-11 18:37:21
3400000312,SYRUP BOTTLE HERSHEY S,SYRUP BOTTLE HERSHEY S,SYRUP BOTTLE HERSHEY S,insert,1,https://riba.app/imgrs/THUMBS%20500X500/2833.JPG,tabs/detalle-producto/2833,476.000,476.000,476.000,USD,1,,"{""MARCA"":[""HERSHEY S REGULAR""],""CATEGORIA"":[""Siropes""]}","[""Siropes""]",,https://riba.app/imgrs/THUMBS%20500X500/2833.JPG,0,0,"[""30""]",476.000,2026-05-11 18:37:21
3400000318,STRAWBERRY SYRUP 22 OZ,STRAWBERRY SYRUP 22 OZ,STRAWBERRY SYRUP 22 OZ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/2835.JPG,tabs/detalle-producto/2835,487.000,487.000,487.000,USD,1,,"{""MARCA"":[""HERSHEY S REGULAR""],""CATEGORIA"":[""Siropes""]}","[""Siropes""]",,https://riba.app/imgrs/THUMBS%20500X500/2835.JPG,0,0,"[""30""]",487.000,2026-05-11 18:37:21
3400000340,CADBURY CHOCO & CREAMY CARAMEL,CADBURY CHOCO & CREAMY CARAMEL,CADBURY CHOCO & CREAMY CARAMEL,insert,1,https://riba.app/imgrs/THUMBS%20500X500/355256.JPG,tabs/detalle-producto/355256,220.000,220.000,220.000,USD,1,,"{""MARCA"":[""CADBURY""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/355256.JPG,0,0,"[""276""]",220.000,2026-05-11 18:37:21
3400000366,HERSHEYS SYRUP DULCE DE LECHE,HERSHEYS SYRUP DULCE DE LECHE,HERSHEYS SYRUP DULCE DE LECHE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/151513.JPG,tabs/detalle-producto/151513,466.000,466.000,466.000,USD,1,,"{""MARCA"":[""HERSHEY S REGULAR""],""CATEGORIA"":[""Siropes""]}","[""Siropes""]",,https://riba.app/imgrs/THUMBS%20500X500/151513.JPG,0,0,"[""30""]",466.000,2026-05-11 18:37:21
3400000545,ICE CUBE ARTIC GRAPE CUBE PACK,ICE CUBE ARTIC GRAPE CUBE PACK,ICE CUBE ARTIC GRAPE CUBE PACK,insert,1,https://riba.app/imgrs/THUMBS%20500X500/256227.JPG,tabs/detalle-producto/256227,425.000,425.000,425.000,USD,1,,"{""MARCA"":[""ICE BREAKERS""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/256227.JPG,0,0,"[""276""]",425.000,2026-05-11 18:37:21
3400000665,DUO FRUIT+COOL STRAWBERRY,DUO FRUIT+COOL STRAWBERRY,DUO FRUIT+COOL STRAWBERRY,insert,1,https://riba.app/imgrs/THUMBS%20500X500/200809.JPG,tabs/detalle-producto/200809,246.000,246.000,246.000,USD,1,,"{""MARCA"":[""ICE BREAKERS""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/200809.JPG,0,0,"[""276""]",246.000,2026-05-11 18:37:21
3400000666,DUO FRUIT+COOL RASPBERRY,DUO FRUIT+COOL RASPBERRY,DUO FRUIT+COOL RASPBERRY,insert,1,https://riba.app/imgrs/THUMBS%20500X500/200812.JPG,tabs/detalle-producto/200812,246.000,246.000,246.000,USD,1,,"{""MARCA"":[""ICE BREAKERS""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/200812.JPG,0,0,"[""276""]",246.000,2026-05-11 18:37:21
3400000843,ICE CUBES PEPPERMINT,ICE CUBES PEPPERMINT,ICE CUBES PEPPERMINT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/180554.JPG,tabs/detalle-producto/180554,425.000,425.000,425.000,USD,1,,"{""MARCA"":[""ICE BREAKERS""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/180554.JPG,0,0,"[""276""]",425.000,2026-05-11 18:37:21
3400000847,ICE CUBES SPEARMINT,ICE CUBES SPEARMINT,ICE CUBES SPEARMINT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/215675.JPG,tabs/detalle-producto/215675,426.000,426.000,426.000,USD,1,,"{""MARCA"":[""ICE BREAKERS""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/215675.JPG,0,0,"[""276""]",426.000,2026-05-11 18:37:21
3400000995,ICE BREAKERS BERRY STRAWBERRY,ICE BREAKERS BERRY STRAWBERRY,ICE BREAKERS BERRY STRAWBERRY,insert,1,https://riba.app/imgrs/THUMBS%20500X500/125279.JPG,tabs/detalle-producto/125279,244.000,244.000,244.000,USD,1,,"{""MARCA"":[""ICE BREAKERS""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/125279.JPG,0,0,"[""276""]",244.000,2026-05-11 18:37:21
3400001870,HERSHEYS NUGGET MILK,HERSHEYS NUGGET MILK,HERSHEYS NUGGET MILK,insert,1,https://riba.app/imgrs/THUMBS%20500X500/284978.JPG,tabs/detalle-producto/284978,806.000,806.000,806.000,USD,1,,"{""MARCA"":[""HERSHEY S REGULAR""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/284978.JPG,0,0,"[""276""]",806.000,2026-05-11 18:37:21
3400001871,HERSHEYS NUGGET ALMOND,HERSHEYS NUGGET ALMOND,HERSHEYS NUGGET ALMOND,insert,1,https://riba.app/imgrs/THUMBS%20500X500/284979.JPG,tabs/detalle-producto/284979,806.000,806.000,806.000,USD,1,,"{""MARCA"":[""HERSHEY S REGULAR""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/284979.JPG,0,0,"[""276""]",806.000,2026-05-11 18:37:21
3400001875,HERSHEY NUGGET TOFFEE,HERSHEY NUGGET TOFFEE,HERSHEY NUGGET TOFFEE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/285834.JPG,tabs/detalle-producto/285834,806.000,806.000,806.000,USD,1,,"{""MARCA"":[""HERSHEY S REGULAR""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/285834.JPG,0,0,"[""276""]",806.000,2026-05-11 18:37:21
3400004025,CADBURY DAIRY MILK CHOCOLATE,CADBURY DAIRY MILK CHOCOLATE,CADBURY DAIRY MILK CHOCOLATE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/200623.JPG,tabs/detalle-producto/200623,425.000,425.000,425.000,USD,1,,"{""MARCA"":[""CADBURY""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/200623.JPG,0,0,"[""276""]",425.000,2026-05-11 18:37:21
3400004029,CADBURY FRUIT&NUT CHOCOLATE,CADBURY FRUIT&NUT CHOCOLATE,CADBURY FRUIT&NUT CHOCOLATE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/200624.JPG,tabs/detalle-producto/200624,425.000,425.000,425.000,USD,1,,"{""MARCA"":[""CADBURY""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/200624.JPG,0,0,"[""276""]",425.000,2026-05-11 18:37:21
3400004031,MILK CHOCOLATE CADBURY DAIRY,MILK CHOCOLATE CADBURY DAIRY,MILK CHOCOLATE CADBURY DAIRY,insert,1,https://riba.app/imgrs/THUMBS%20500X500/200622.JPG,tabs/detalle-producto/200622,425.000,425.000,425.000,USD,1,,"{""MARCA"":[""CADBURY""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/200622.JPG,0,0,"[""276""]",425.000,2026-05-11 18:37:21
3400004033,CADBURY DARK CHOCOLATE,CADBURY DARK CHOCOLATE,CADBURY DARK CHOCOLATE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/200621.JPG,tabs/detalle-producto/200621,425.000,425.000,425.000,USD,1,,"{""MARCA"":[""CADBURY""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/200621.JPG,0,0,"[""276""]",425.000,2026-05-11 18:37:21
3400004047,CADBURY CARAMELO MILK CHOC.,CADBURY CARAMELO MILK CHOC.,CADBURY CARAMELO MILK CHOC.,insert,1,https://riba.app/imgrs/THUMBS%20500X500/200625.JPG,tabs/detalle-producto/200625,425.000,425.000,425.000,USD,1,,"{""MARCA"":[""CADBURY""],""CATEGORIA"":[""Chocolates Y Golosinas""]}","[""Chocolates Y Golosinas""]",,https://riba.app/imgrs/THUMBS%20500X500/200625.JPG,0,0,"[""276""]",425.000,2026-05-11 18:37:21
