SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
745101200307,PANTIES DESECHABLE BIKINI XL,PANTIES DESECHABLE BIKINI XL,PANTIES DESECHABLE BIKINI XL,insert,1,https://riba.app/imgrs/THUMBS%20500X500/236875.JPG,tabs/detalle-producto/236875,226.000,226.000,226.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/236875.JPG,0,0,"[""244""]",226.000,2026-05-08 10:54:04
745101200315,CALZONCILLOS DESECHABLES,CALZONCILLOS DESECHABLES,CALZONCILLOS DESECHABLES,insert,1,https://riba.app/imgrs/THUMBS%20500X500/234683.JPG,tabs/detalle-producto/234683,232.000,232.000,232.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/234683.JPG,0,0,"[""244""]",232.000,2026-05-08 10:54:04
745101200316,CALZONCILLOS DESECHABLES,CALZONCILLOS DESECHABLES,CALZONCILLOS DESECHABLES,insert,1,https://riba.app/imgrs/THUMBS%20500X500/234684.JPG,tabs/detalle-producto/234684,226.000,226.000,226.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/234684.JPG,0,0,"[""244""]",226.000,2026-05-08 10:54:04
745101200317,CALZONCILLOS DESECHABLES,CALZONCILLOS DESECHABLES,CALZONCILLOS DESECHABLES,insert,1,https://riba.app/imgrs/THUMBS%20500X500/234685.JPG,tabs/detalle-producto/234685,230.000,230.000,230.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/234685.JPG,0,0,"[""244""]",230.000,2026-05-08 10:54:04
745101200319,PANTIES DESH SMALL HI CUT,PANTIES DESH SMALL HI CUT,PANTIES DESH SMALL HI CUT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/234676.JPG,tabs/detalle-producto/234676,232.000,232.000,232.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/234676.JPG,0,0,"[""244""]",232.000,2026-05-08 10:54:04
745101200320,PANTIES DESCH MEDIUM HI CUT,PANTIES DESCH MEDIUM HI CUT,PANTIES DESCH MEDIUM HI CUT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/234677.JPG,tabs/detalle-producto/234677,225.000,225.000,225.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/234677.JPG,0,0,"[""244""]",225.000,2026-05-08 10:54:04
745101200321,PANTIES DESCH LARGE HI CUT,PANTIES DESCH LARGE HI CUT,PANTIES DESCH LARGE HI CUT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/234678.JPG,tabs/detalle-producto/234678,226.000,226.000,226.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/234678.JPG,0,0,"[""244""]",226.000,2026-05-08 10:54:04
745101200323,PANTIES DESCH 2X LARGE HI CUT,PANTIES DESCH 2X LARGE HI CUT,PANTIES DESCH 2X LARGE HI CUT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/234680.JPG,tabs/detalle-producto/234680,224.000,224.000,224.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/234680.JPG,0,0,"[""244""]",224.000,2026-05-08 10:54:04
745101200324,PANTIES DESECHABLE BIKINI S,PANTIES DESECHABLE BIKINI S,PANTIES DESECHABLE BIKINI S,insert,1,https://riba.app/imgrs/THUMBS%20500X500/236868.JPG,tabs/detalle-producto/236868,230.000,230.000,230.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/236868.JPG,0,0,"[""244""]",230.000,2026-05-08 10:54:04
745101200325,PANTIES DESECHABLE BIKINI M,PANTIES DESECHABLE BIKINI M,PANTIES DESECHABLE BIKINI M,insert,1,https://riba.app/imgrs/THUMBS%20500X500/236871.JPG,tabs/detalle-producto/236871,226.000,226.000,226.000,USD,1,,"{""MARCA"":[""HYGENEX""],""CATEGORIA"":[""Vestuario""]}","[""Vestuario""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/236871.JPG,0,0,"[""244""]",226.000,2026-05-08 10:54:04
