SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
3000011,PATE HENAFF PORK 12 X 80 GR,PATE HENAFF PORK 12 X 80 GR,PATE HENAFF PORK 12 X 80 GR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/141813.JPG,tabs/detalle-producto/141813,237.000,237.000,237.000,USD,1,,"{""MARCA"":[""HENAFF""],""CATEGORIA"":[""Pate""]}","[""Pate""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/141813.JPG,0,0,"[""226""]",237.000,2026-05-08 10:49:20
3000012,PORK LIVER PATE 12 X 78 GR,PORK LIVER PATE 12 X 78 GR,PORK LIVER PATE 12 X 78 GR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/134543.JPG,tabs/detalle-producto/134543,177.000,177.000,177.000,USD,1,,"{""MARCA"":[""HENAFF""],""CATEGORIA"":[""Pate""]}","[""Pate""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/134543.JPG,0,0,"[""226""]",177.000,2026-05-08 10:49:20
353758070088,MOUSSE DE CANARD 12 X 115 GR,MOUSSE DE CANARD 12 X 115 GR,MOUSSE DE CANARD 12 X 115 GR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/134542.JPG,tabs/detalle-producto/134542,328.000,328.000,328.000,USD,1,,"{""MARCA"":[""HENAFF""],""CATEGORIA"":[""Pate""]}","[""Pate""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/134542.JPG,0,0,"[""226""]",328.000,2026-05-08 10:49:20
353758070134,DUCK MOUSSE WITH OLIVES 115 GR,DUCK MOUSSE WITH OLIVES 115 GR,DUCK MOUSSE WITH OLIVES 115 GR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/149839.JPG,tabs/detalle-producto/149839,344.000,344.000,344.000,USD,1,,"{""MARCA"":[""HENAFF""],""CATEGORIA"":[""Pate""]}","[""Pate""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/149839.JPG,0,0,"[""226""]",344.000,2026-05-08 10:49:20
353758070201,CHICKEN LIVER MOUSSE 113GR ,CHICKEN LIVER MOUSSE 113GR ,CHICKEN LIVER MOUSSE 113GR ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/149838.JPG,tabs/detalle-producto/149838,349.000,349.000,349.000,USD,1,,"{""MARCA"":[""HENAFF""],""CATEGORIA"":[""Pate""]}","[""Pate""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/149838.JPG,0,0,"[""226""]",349.000,2026-05-08 10:49:20
353758070266,THREE LIVERS MOUSSE 116 GR,THREE LIVERS MOUSSE 116 GR,THREE LIVERS MOUSSE 116 GR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/149840.JPG,tabs/detalle-producto/149840,346.000,346.000,346.000,USD,1,,"{""MARCA"":[""HENAFF""],""CATEGORIA"":[""Pate""]}","[""Pate""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/149840.JPG,0,0,"[""226""]",346.000,2026-05-08 10:49:20
70119796650,HUEVOS DE GALLINA DE PATIO ,HUEVOS DE GALLINA DE PATIO ,HUEVOS DE GALLINA DE PATIO ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/278860.JPG,tabs/detalle-producto/278860,527.000,527.000,527.000,USD,1,,"{""MARCA"":[""TIERRA MIA ""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/278860.JPG,0,0,"[""223""]",527.000,2026-05-08 10:49:20
7027200213,WHITES EGG BEATERS FF 16OZ,WHITES EGG BEATERS FF 16OZ,WHITES EGG BEATERS FF 16OZ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/133018.JPG,tabs/detalle-producto/133018,661.000,661.000,661.000,USD,1,,"{""MARCA"":[""EGG BEATERS""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/133018.JPG,0,0,"[""223""]",661.000,2026-05-08 10:49:20
7027200216,EGG BEATERS 99% REAL EGGS,EGG BEATERS 99% REAL EGGS,EGG BEATERS 99% REAL EGGS,insert,1,https://riba.app/imgrs/THUMBS%20500X500/66127.JPG,tabs/detalle-producto/66127,661.000,661.000,661.000,USD,1,,"{""MARCA"":[""EGG BEATERS""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/66127.JPG,0,0,"[""223""]",661.000,2026-05-08 10:49:20
70908109741,FLAT 15 HUEVOS GRANDES,FLAT 15 HUEVOS GRANDES,FLAT 15 HUEVOS GRANDES,insert,1,https://riba.app/imgrs/THUMBS%20500X500/339733.JPG,tabs/detalle-producto/339733,347.000,347.000,347.000,USD,1,,"{""MARCA"":[""GRANJA EMITA""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/339733.JPG,0,0,"[""223""]",347.000,2026-05-08 10:49:20
70908109743,FLAT 15 HUEVOS MEDIANOS,FLAT 15 HUEVOS MEDIANOS,FLAT 15 HUEVOS MEDIANOS,insert,1,https://riba.app/imgrs/THUMBS%20500X500/339732.JPG,tabs/detalle-producto/339732,327.000,327.000,327.000,USD,1,,"{""MARCA"":[""GRANJA EMITA""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/339732.JPG,0,0,"[""223""]",327.000,2026-05-08 10:49:20
71049772531,HUEVOS DE PASTOREO,HUEVOS DE PASTOREO,HUEVOS DE PASTOREO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/347528.JPG,tabs/detalle-producto/347528,266.000,266.000,266.000,USD,1,,"{""MARCA"":[""VIVE VIDA VERDE (Huevos)""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/347528.JPG,0,0,"[""223""]",266.000,2026-05-08 10:49:20
745100030156,HUEVOS GRANDES FAMILIAR,HUEVOS GRANDES FAMILIAR,HUEVOS GRANDES FAMILIAR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/120662.JPG,tabs/detalle-producto/120662,395.000,395.000,395.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/120662.JPG,0,0,"[""223""]",395.000,2026-05-08 10:49:20
745100033813,HUEVOS MEDIANOS 30 UN,HUEVOS MEDIANOS 30 UN,HUEVOS MEDIANOS 30 UN,insert,1,https://riba.app/imgrs/THUMBS%20500X500/157946.JPG,tabs/detalle-producto/157946,644.000,644.000,644.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/157946.JPG,0,0,"[""223""]",644.000,2026-05-08 10:49:20
745100140208,HUEVOS MEDIANOS MELO,HUEVOS MEDIANOS MELO,HUEVOS MEDIANOS MELO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/13073.JPG,tabs/detalle-producto/13073,233.000,233.000,233.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/13073.JPG,0,0,"[""223""]",233.000,2026-05-08 10:49:20
745100140220,HUEVOS MEDIANOS MELO,HUEVOS MEDIANOS MELO,HUEVOS MEDIANOS MELO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/55798.JPG,tabs/detalle-producto/55798,119.000,119.000,119.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/55798.JPG,0,0,"[""223""]",119.000,2026-05-08 10:49:20
745100140257,HUEVOS JUMBO EMPACADOS,HUEVOS JUMBO EMPACADOS,HUEVOS JUMBO EMPACADOS,insert,1,https://riba.app/imgrs/THUMBS%20500X500/13072.JPG,tabs/detalle-producto/13072,254.000,254.000,254.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/13072.JPG,0,0,"[""223""]",254.000,2026-05-08 10:49:20
745100142503,HUEVOS GRANDES MELO,HUEVOS GRANDES MELO,HUEVOS GRANDES MELO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/13070.JPG,tabs/detalle-producto/13070,253.000,253.000,253.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/13070.JPG,0,0,"[""223""]",253.000,2026-05-08 10:49:20
745100142529,HUEVOS GRANDES MAMA GALLINA,HUEVOS GRANDES MAMA GALLINA,HUEVOS GRANDES MAMA GALLINA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/333939.JPG,tabs/detalle-producto/333939,404.000,404.000,404.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/333939.JPG,0,0,"[""223""]",404.000,2026-05-08 10:49:20
745100142531,HUEVOS GRANDES MELO,HUEVOS GRANDES MELO,HUEVOS GRANDES MELO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/350468.JPG,tabs/detalle-producto/350468,1.141.000,1.141.000,1.141.000,USD,1,,"{""MARCA"":[""MELO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/350468.JPG,0,0,"[""223""]",1.141.000,2026-05-08 10:49:20
745103950001,HUEVOS DE CODORNIZ 130GR,HUEVOS DE CODORNIZ 130GR,HUEVOS DE CODORNIZ 130GR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/28877.JPG,tabs/detalle-producto/28877,447.000,447.000,447.000,USD,1,,"{""MARCA"":[""TALO S""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/28877.JPG,0,0,"[""223""]",447.000,2026-05-08 10:49:20
745103950002,HUEVOS DE CODORNIZ VINAGRE,HUEVOS DE CODORNIZ VINAGRE,HUEVOS DE CODORNIZ VINAGRE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/28879.JPG,tabs/detalle-producto/28879,561.000,561.000,561.000,USD,1,,"{""MARCA"":[""TALO S""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/28879.JPG,0,0,"[""223""]",561.000,2026-05-08 10:49:20
745108080001,HUEVOS MEDIANOS DEL DIA,HUEVOS MEDIANOS DEL DIA,HUEVOS MEDIANOS DEL DIA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/81502.JPG,tabs/detalle-producto/81502,232.000,232.000,232.000,USD,1,,"{""MARCA"":[""DEL DIA""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/81502.JPG,0,0,"[""223""]",232.000,2026-05-08 10:49:20
745108080004,HUEVOS MEDIANOS DEL DIA,HUEVOS MEDIANOS DEL DIA,HUEVOS MEDIANOS DEL DIA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/166162.JPG,tabs/detalle-producto/166162,116.000,116.000,116.000,USD,1,,"{""MARCA"":[""DEL DIA""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/166162.JPG,0,0,"[""223""]",116.000,2026-05-08 10:49:20
745108080048,HUEVOS GRANDES DEPATIO,HUEVOS GRANDES DEPATIO,HUEVOS GRANDES DEPATIO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/30583.JPG,tabs/detalle-producto/30583,274.000,274.000,274.000,USD,1,,"{""MARCA"":[""DEPATIO""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/30583.JPG,0,0,"[""223""]",274.000,2026-05-08 10:49:20
745108080049,HUEVOS MEDIANOS EMP DE PATIO,HUEVOS MEDIANOS EMP DE PATIO,HUEVOS MEDIANOS EMP DE PATIO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/285232.JPG,tabs/detalle-producto/285232,232.000,232.000,232.000,USD,1,,"{""MARCA"":[""DEL DIA""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/285232.JPG,0,0,"[""223""]",232.000,2026-05-08 10:49:20
745108081001,HUEVOS GRANDES DEL DIA,HUEVOS GRANDES DEL DIA,HUEVOS GRANDES DEL DIA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/81499.JPG,tabs/detalle-producto/81499,274.000,274.000,274.000,USD,1,,"{""MARCA"":[""DEL DIA""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/81499.JPG,0,0,"[""223""]",274.000,2026-05-08 10:49:20
745108081052,HUEVOS GRANDES EMP DEL DIA,HUEVOS GRANDES EMP DEL DIA,HUEVOS GRANDES EMP DEL DIA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/285231.JPG,tabs/detalle-producto/285231,411.000,411.000,411.000,USD,1,,"{""MARCA"":[""DEL DIA""],""CATEGORIA"":[""Huevos""]}","[""Huevos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/285231.JPG,0,0,"[""223""]",411.000,2026-05-08 10:49:20
