SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
1106,CAKE 1 2 PLANCHA DE 16X12,CAKE 1 2 PLANCHA DE 16X12,CAKE 1 2 PLANCHA DE 16X12,insert,1,https://riba.app/imgrs/THUMBS%20500X500/16726.JPG,tabs/detalle-producto/16726,3.550.000,3.550.000,3.550.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PANES Y DULCES""]}","[""PANES Y DULCES""]",,https://riba.app/imgrs/THUMBS%20500X500/16726.JPG,0,0,"[""269""]",3.550.000,2026-05-08 10:59:33
1426,EMPANADAS DE  POLLO,EMPANADAS DE  POLLO,EMPANADAS DE  POLLO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/16620.JPG,tabs/detalle-producto/16620,90.000,90.000,90.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PRODUCTOS DE MAIZ Y OTROS""]}","[""PRODUCTOS DE MAIZ Y OTROS""]",,https://riba.app/imgrs/THUMBS%20500X500/16620.JPG,0,0,"[""270""]",90.000,2026-05-08 10:59:33
1486,PASTELITO DE POLLO CJA,PASTELITO DE POLLO CJA,PASTELITO DE POLLO CJA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/16667.JPG,tabs/detalle-producto/16667,75.000,75.000,75.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PRODUCTOS DE MAIZ Y OTROS""]}","[""PRODUCTOS DE MAIZ Y OTROS""]",,https://riba.app/imgrs/THUMBS%20500X500/16667.JPG,0,0,"[""270""]",75.000,2026-05-08 10:59:33
1493,EMPANADAS QUESO BLANCO CRUDO,EMPANADAS QUESO BLANCO CRUDO,EMPANADAS QUESO BLANCO CRUDO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/16622.JPG,tabs/detalle-producto/16622,80.000,80.000,80.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PRODUCTOS DE MAIZ Y OTROS""]}","[""PRODUCTOS DE MAIZ Y OTROS""]",,https://riba.app/imgrs/THUMBS%20500X500/16622.JPG,0,0,"[""270""]",80.000,2026-05-08 10:59:33
1494,PASTELITO QUESO BLANCO CRUDO,PASTELITO QUESO BLANCO CRUDO,PASTELITO QUESO BLANCO CRUDO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/16668.JPG,tabs/detalle-producto/16668,75.000,75.000,75.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PRODUCTOS DE MAIZ Y OTROS""]}","[""PRODUCTOS DE MAIZ Y OTROS""]",,https://riba.app/imgrs/THUMBS%20500X500/16668.JPG,0,0,"[""270""]",75.000,2026-05-08 10:59:33
1495,EMPANADA QUESO CREMA,EMPANADA QUESO CREMA,EMPANADA QUESO CREMA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/16623.JPG,tabs/detalle-producto/16623,75.000,75.000,75.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PRODUCTOS DE MAIZ Y OTROS""]}","[""PRODUCTOS DE MAIZ Y OTROS""]",,https://riba.app/imgrs/THUMBS%20500X500/16623.JPG,0,0,"[""270""]",75.000,2026-05-08 10:59:33
1498,PASTELITO QUESO CREMA,PASTELITO QUESO CREMA,PASTELITO QUESO CREMA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/16624.JPG,tabs/detalle-producto/16624,70.000,70.000,70.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PRODUCTOS DE MAIZ Y OTROS""]}","[""PRODUCTOS DE MAIZ Y OTROS""]",,https://riba.app/imgrs/THUMBS%20500X500/16624.JPG,0,0,"[""270""]",70.000,2026-05-08 10:59:33
2053,GALLETA GINGER SNAPS TRIO,GALLETA GINGER SNAPS TRIO,GALLETA GINGER SNAPS TRIO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/59119.JPG,tabs/detalle-producto/59119,65.000,65.000,65.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""Snacks""]}","[""Snacks""]",,https://riba.app/imgrs/THUMBS%20500X500/59119.JPG,0,0,"[""296""]",65.000,2026-05-08 10:59:33
2065,TOSTADITAS DE TRIGO CHICA,TOSTADITAS DE TRIGO CHICA,TOSTADITAS DE TRIGO CHICA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/64369.JPG,tabs/detalle-producto/64369,65.000,65.000,65.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""PANES Y DULCES""]}","[""PANES Y DULCES""]",,https://riba.app/imgrs/THUMBS%20500X500/64369.JPG,0,0,"[""269""]",65.000,2026-05-08 10:59:33
2086,TRIO DE MANTEQUILLA 3 UND,TRIO DE MANTEQUILLA 3 UND,TRIO DE MANTEQUILLA 3 UND,insert,1,https://riba.app/imgrs/THUMBS%20500X500/68388.JPG,tabs/detalle-producto/68388,90.000,90.000,90.000,USD,1,{},"{""MARCA"": [""RIMITH""], ""CATEGORIA"": [""Snacks""]}","[""Snacks""]",,https://riba.app/imgrs/THUMBS%20500X500/68388.JPG,0,0,"[""296""]",90.000,2026-05-08 10:59:33
