SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
745101510866,SOUP SPOON TRANSPARENT,SOUP SPOON TRANSPARENT,SOUP SPOON TRANSPARENT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277707.JPG,tabs/detalle-producto/277707,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277707.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510867,SPOON TRANSPARENT,SPOON TRANSPARENT,SPOON TRANSPARENT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277708.JPG,tabs/detalle-producto/277708,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277708.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510868,FORK TRANSPARENT,FORK TRANSPARENT,FORK TRANSPARENT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277710.JPG,tabs/detalle-producto/277710,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277710.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510869,KNIFE TRANSPARENT,KNIFE TRANSPARENT,KNIFE TRANSPARENT,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277733.JPG,tabs/detalle-producto/277733,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277733.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510870,SOUP SPOON WHITE,SOUP SPOON WHITE,SOUP SPOON WHITE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277734.JPG,tabs/detalle-producto/277734,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277734.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510871,SPOON WHITE,SPOON WHITE,SPOON WHITE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277735.JPG,tabs/detalle-producto/277735,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277735.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510872,FORK WHITE,FORK WHITE,FORK WHITE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277736.JPG,tabs/detalle-producto/277736,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277736.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510873,KNIFE WHITE,KNIFE WHITE,KNIFE WHITE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/277737.JPG,tabs/detalle-producto/277737,97.000,97.000,97.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/277737.JPG,0,0,"[""57""]",97.000,2026-05-08 11:08:37
745101510887,BOLSA 100% BIODEGRAD BLANCA 4G,BOLSA 100% BIODEGRAD BLANCA 4G,BOLSA 100% BIODEGRAD BLANCA 4G,insert,1,https://riba.app/imgrs/THUMBS%20500X500/274347.JPG,tabs/detalle-producto/274347,87.000,87.000,87.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/274347.JPG,0,0,"[""57""]",87.000,2026-05-08 11:08:37
745101510888,BOLSA 100% BIODEGRAD NEGRA 4GL,BOLSA 100% BIODEGRAD NEGRA 4GL,BOLSA 100% BIODEGRAD NEGRA 4GL,insert,1,https://riba.app/imgrs/THUMBS%20500X500/274348.JPG,tabs/detalle-producto/274348,87.000,87.000,87.000,USD,1,,"{""MARCA"":[""TILTON S""],""CATEGORIA"":[""Artículos Desechables""]}","[""Artículos Desechables""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/274348.JPG,0,0,"[""57""]",87.000,2026-05-08 11:08:37
